0,1,2,3,4,5,6,7,8,9,10,11,12,label
-647.84375,108.03346,-36.258755,3.8245783,29.13619,-24.026028,11.628071,-12.080383,10.802249,-8.357332,-13.383356,4.0129595,4.6852345,0
-690.2307,81.83926,-37.809086,16.195621,34.896084,-31.789923,15.049171,-22.188297,10.178849,-1.7581258,-12.742376,-0.91427225,1.1246487,0
-672.0363,118.6014,-18.433836,4.700259,43.887913,-19.946533,10.755584,-12.544262,11.963456,-10.091545,-12.128442,-0.902558,2.9517891,0
-649.13354,97.52534,-34.59144,4.9961476,29.84523,-16.327099,7.777876,-10.883085,5.9472394,-6.0661135,-6.4128156,-3.2052991,-1.0680686,0
-676.9941,103.39846,-36.834206,2.885103,48.09951,-18.803337,10.808584,-20.106852,7.6705484,-8.441591,-9.222751,3.5443044,1.5205178,0
-600.1305,106.25138,-31.049349,4.8641763,18.47195,-12.174836,-0.55758715,-6.2235446,5.0146575,-3.1941743,-10.830044,0.096103385,3.4846506,0
-649.0869,117.655235,-28.024178,1.7056121,36.794567,-20.495916,5.532322,-11.171323,10.91712,-9.417441,-12.295087,-0.5923795,4.102406,0
-663.57043,109.30923,-31.011255,6.7169476,32.66189,-29.670656,12.959286,-15.580046,10.868102,-6.0094047,-12.844953,0.3444338,1.7472246,0
-660.1533,92.03039,-36.10924,5.598216,29.821274,-19.937748,8.314165,-12.440402,5.4469275,-8.608422,-8.082207,0.60056776,3.2205641,0
-685.95465,97.77949,-30.487482,2.0276895,36.734154,-26.697428,12.283255,-10.655595,10.086114,-8.157202,-9.147726,-0.2756399,2.0300908,0
-659.12054,94.600746,-35.740498,10.942143,27.440355,-23.851044,14.656006,-12.602014,8.895303,-7.707999,-9.741708,0.681694,0.4126772,0
-608.704,123.726036,-49.285774,1.6225976,37.631847,-17.45928,5.1121244,-12.8230505,9.618709,-8.570058,-13.396488,0.68809444,5.7514663,0
-638.11334,103.464645,-39.81976,9.962551,34.906086,-21.332869,6.181426,-10.484165,6.3592134,-11.9211855,-10.892804,1.8740385,1.683509,0
