0,1,2,3,4,5,6,7,8,9,10,11,12,label
-713.96075,83.05548,-25.296572,-0.86365086,31.515682,-25.750755,11.676582,-19.229507,8.425596,-5.7708,-9.106579,-2.603936,-0.94343096,0
-651.32715,97.487114,-15.7718115,11.276454,29.45098,-8.274947,5.6540437,-8.13619,5.8897367,-6.7628894,-8.890456,-1.8249329,4.209136,0
-638.24274,102.45755,-25.619225,5.265468,19.420403,-11.468973,5.4924073,-19.871063,7.931946,-1.0544193,-10.452528,-0.4512051,2.072986,0
-610.5756,114.98587,-27.595486,14.953952,26.146257,-19.82413,1.8324128,-6.624366,7.926273,-9.891936,-11.6260195,2.8384087,4.1856027,0
-601.2758,118.0805,-32.75751,17.078945,29.073238,-17.297165,4.7144036,-8.716339,9.573406,-3.860247,-10.466505,0.48432806,2.339764,0
-639.6664,116.49191,-23.919014,12.6398,29.17619,-22.427355,12.207286,-8.807092,13.385399,-5.648426,-9.327244,-0.17097029,2.6655447,0
-634.65466,126.00939,-23.580324,5.9709506,40.79285,-13.991443,6.2550583,-8.106701,10.76952,-8.199967,-6.4461155,2.9361224,4.2579007,0
-700.6588,79.59011,-23.611074,24.006617,28.102108,-37.218628,22.474682,-10.788595,8.121158,-9.793444,-11.280972,2.6016824,1.524165,0
-652.88654,119.465675,-5.369689,15.156724,28.137735,-26.671017,6.691244,-2.3010008,16.708744,-6.9722276,-12.017311,-0.9061702,3.9743285,0
-604.34174,123.56014,-31.335243,14.24944,27.198927,-21.198936,5.950512,-8.5986805,11.14398,-6.3624496,-12.30973,0.7382175,2.8035617,0
-604.02606,120.65673,-40.057236,14.684046,30.404846,-19.860025,9.324978,-13.592454,6.7083683,-8.306185,-12.667615,0.7642482,3.2337847,0
-630.80273,108.430954,-36.37708,16.283028,33.862034,-16.175266,15.276778,-14.17275,9.070928,-1.3319948,-9.700581,2.203272,4.764988,0
-598.619,120.158646,-45.115757,5.6776857,40.482334,-4.5528016,2.0342634,-17.451027,5.322262,-3.2562957,-5.101287,2.1654015,0.31431547,0
-605.1755,102.234215,-30.361586,10.986995,11.996483,-17.244858,7.055097,-4.500253,6.0611773,-4.8867884,-14.248259,2.260902,6.63743,0
-622.7361,127.096306,-11.513733,12.550756,29.956121,-11.387933,4.5595665,-12.374217,10.071414,-5.489011,-9.48009,-0.723848,1.6464984,0
-558.6879,130.54953,-50.426006,11.088752,36.098484,-6.88686,3.3334813,-13.312196,1.6500568,-5.509538,-10.4914665,2.625721,3.3456085,0
-596.454,125.61448,-30.078241,13.935536,24.047634,-19.567373,6.839143,-10.545185,9.011749,-2.7599509,-13.440212,-0.6278706,7.018831,0
-620.9529,105.706535,-28.169147,16.838785,33.332066,-10.445394,2.3995006,-11.390888,6.8190827,-4.8710628,-9.762019,1.3541272,5.1308,0
-606.2007,108.14743,-38.486656,14.062428,26.65397,-14.068686,6.7755256,-11.909386,5.1359262,-5.5122185,-10.014122,2.575903,1.8950752,0
-574.4797,112.63913,-30.64593,21.435497,24.481419,-11.932203,3.0707557,-5.623838,2.8498125,-1.1406772,-9.660262,1.5181413,1.4349848,0
-625.23865,99.080635,-49.8376,13.738131,41.388454,-14.463156,2.3126376,-19.996462,2.7593627,-5.949646,-10.675275,0.26490623,2.573452,0
-570.30664,114.83788,-41.481823,16.69618,15.517035,-17.228643,7.7187386,-9.328861,2.5032113,-4.4758315,-13.788054,1.9693042,6.0284605,0
-621.98553,100.66704,-49.318092,18.003925,23.561201,-23.620705,19.437922,-15.448677,9.385358,-2.895461,-10.629861,2.2748034,4.350815,0
